,TransID,AccNo,FName,LName,TransCategory,TransValue,TransOn,TransAt,BranchLoc,Teller,OldBalance,UpdatedBalance,Fee,Currency,Rate,IntlTrans,RefNo,TransDesc,AccCategory,Overdraft,LoanTrans,LoanRef,MortgageTrans,MortgageRef,CreditCardTrans,CCNo,CreditRating,InvestTrans,InvestCategory,InvestValue,InvestOn,MaturityOn,TaxDeduction,TaxValue,AuthorizedBy,Disputed,Resolution,PromoUsed,PromoID,Cashback,RewardPointsGained,RewardPointsUsed,OffersLinked,Feedback,Comments,ReferralBonusEarned,First_Name,Transaction_Cat,TransactionDate
0,7001,A0101,John,Doe,Add,1200,2023-01-03,2:35 PM,City Center,301,5000,6200,0,US Dollar,1,No,R0101,Monthly Salary,Save,Yes,No,,No,,No,,750,No,,0,,,No,0,Mgr A,No,,No,,0,12,0,None,No,,0,John,Add,2023-01-03
1,7002,A0102,Jane,Smith,Subtract,800,2023-05-03,9:15 AM,Main St,302,6000,5200,2,US Dollar,1,No,R0102,Food & Groceries,Check,No,No,,No,,Yes,4111-1111-1111-1111,680,Yes,Shares,800,05.03.2023,05.03.2028,Yes,80,Mgr B,No,,Yes,P10,8,16,0,10% off,Yes,Smooth,10,Jane,Subtract,2023-05-03
2,7003,A0103,Alice,Johnson,Add,600,2023-10-03,11:45 AM,East Ave,303,7000,7600,0,US Dollar,1,No,R0103,Project Payment,Save,Yes,No,,No,,No,,720,No,,0,,,No,0,Mgr A,No,,No,,0,6,0,None,No,,0,Alice,Add,2023-10-03
3,7004,A0104,Bob,White,Add,1200,2023-03-15,4:20 PM,West Rd,304,8000,9200,0,US Dollar,1,No,R0104,House Rent,Check,No,No,,No,,Yes,4222-2222-2222-2222,710,Yes,Govt Bond,1200,15.03.2023,15.03.2026,Yes,120,Mgr B,No,,Yes,P15,18,24,0,15% off,Yes,Quick,10,Bob,Add,2023-03-15
4,7005,A0105,Charlie,Brown,Subtract,300,2023-03-20,10:10 AM,City Center,305,9000,8700,2,US Dollar,1,No,R0105,Bills,Save,Yes,No,,No,,No,,700,No,,0,,,No,0,Mgr A,No,,No,,0,3,0,None,No,,0,Charlie,Subtract,2023-03-20
5,7006,A0106,David,Green,Add,1200,2023-03-25,3:55 PM,Main St,306,10000,11200,0,US Dollar,1,No,R0106,Monthly Salary,Check,No,No,,No,,Yes,4333-3333-3333-3333,690,Yes,Shares,1200,25.03.2023,25.03.2028,Yes,120,Mgr B,No,,Yes,P10,12,24,0,10% off,Yes,Good,10,David,Add,2023-03-25
6,7007,A0107,Eva,Black,Subtract,800,2023-01-04,1:30 PM,East Ave,307,11000,10200,2,US Dollar,1,No,R0107,Shopping,Save,Yes,No,,No,,No,,730,No,,0,,,No,0,Mgr A,No,,No,,0,16,0,None,No,,0,Eva,Subtract,2023-01-04
7,7008,A0108,Frank,Blue,Add,600,2023-05-04,2:00 PM,West Rd,308,12000,12600,0,US Dollar,1,No,R0108,House Rent,Check,No,No,,No,,Yes,4444-4444-4444-4444,740,Yes,Govt Bond,600,05.04.2023,05.04.2026,Yes,60,Mgr B,No,,Yes,P15,9,12,0,15% off,Yes,Will use,10,Frank,Add,2023-05-04
8,7009,A0109,Grace,Yellow,Subtract,300,2023-10-04,12:25 PM,City Center,309,13000,12000,2,US Dollar,1,No,R0109,Bills,Save,Yes,No,,No,,No,,705,No,,0,,,No,0,Mgr A,No,,No,,0,6,0,None,No,,0,Grace,Subtract,2023-10-04
9,7010,A0110,Hank,Red,Add,1200,2023-04-15,9:50 AM,Main St,310,14000,15200,0,US Dollar,1,No,R0110,Monthly Salary,Check,No,No,,No,,Yes,4555-5555-5555-5555,715,Yes,Shares,1200,15.04.2023,15.04.2028,Yes,120,Mgr B,No,,Yes,P10,12,24,0,10% off,Yes,Recommended,10,Hank,Add,2023-04-15
